9645268143142460,Deposit,500,2025-12-18 22:55:53.197471
9645268143142460,Withdrawal,500,2025-12-18 22:56:48.444330
2412742871249403,Withdrawal,500,2025-12-22 23:49:01.003887
2032598093046345,Withdrawal,1500,2025-12-23 23:10:06.156809
2032598093046345,Withdrawal,1500,2025-12-23 23:34:30.580013
2032598093046345,Withdrawal,1000,2025-12-23 23:35:03.283315
2032598093046345,BalanceInquiry,0,2025-12-23 23:35:19.651990
2032598093046345,Withdrawal,1500,2025-12-23 23:35:50.587135
2032598093046345,BalanceInquiry,0,2025-12-23 23:36:01.256218
2412742871249403,Deposit,1000,2025-12-23 23:39:02.935792
2412742871249403,BalanceInquiry,0,2025-12-23 23:39:12.277683
